NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
S020014A-NCR-007,Requirements: Surface finish of Tube sheet shall be 3.2 & 6.3 microns.Deviations: Visual examination of Tube sheet (received as FIM) carried out at receipt stage and pitting marks / rusting marks / damage observed.The details are as below.1. Secondary Side: Pitting observed on almost all over surfaces.2. Outside Surface OD: No severe pitting observed except near circ. seams WEP. Pitting found near both primary and secondary circ.      seam WEP. 3. Primary Side: Pitting observed on thickness location (WEP). Rust mark and minor pitting mark observedon on all over surface.Objective Evidence: K701/VE/30/001Dated 22.05.18,Receipt Inspection,Tubesheet,Major,Closed,Yes,Rectification shall be carried out as per LTFPS 7004 latest revision,Materials,FIM issued by customer,Base Material Defect,Not applicable as the non-conformity is related to FIM,Management,Repair (Rectify Partially),Yes,"Pitting can be removed by grinding / machining maintaining drawing dimensions. When drawing dimensions are deviated during pitting removal, customer approval shall be taken. ","Rework performed as per LTFPS no. 7004. During rework, deviation observed in Radius dimension at groove area of secondary side (OPN No. 90)NCR No. S020014A-NCR-010 raised for the deviation.",Yes,2018-10-19,2018-10-19,2019-02-28,2018-10-22,NULL,NULL,NULL,2,77
S020016A-NCR-001,"Following deviations are observed during CMTR review of SA240M 304L Plates of End Shield project (Project No.: S020016A-B).  Requirement as per NPCIL approved Material Specification No.:NU-ES-0016-MAT-003, R0   1. Soaking Time for Solution Annealing Heat Treatment:       70 Minutes Minimum for 50mm Thk.  Plate       56 Minute Minimum for 40mm Thk.  Plate   2. Certification in the CMTR for “No weld repair carried out on plate by filler metal”.    Deviation:   1. Actual Soaking Time for Solution annealing heat treatment reported in CMTR for       50mm Thk.  Plate (LTPL- 67076) : 50 Minutes      40mm Thk.  Plate (LTPL- 66991 and 66992) : 40 Minutes  2. “No weld repair carried out on plate by filler metal” is not certified in CMTR.    Evidence: Refer attached Report No.: CL/67076/01, CL/66991/01 and CL/66992/01, Dated: 24.05.2018 for details.  ",Receipt Inspection of Raw Material,Plate,Minor,Closed,No,Accept as it is.,Materials,Plate used from stock,Base Material Defect,Accept as it is since Mechanical and Chemical properties are meeting requirement,Management,Accept as it is,Yes,Deviations are accepted as it is.,Required testing done as per approved LTFPS and found acceptable.. Remaining gaps regularized vide NPCIL-NCR No. : NPCIL/GHAVP-1/ES/NCR001. NPCIL NCR is approved. ,NULL,2018-06-09,2018-06-12,2018-06-22,2018-06-14,NULL,NULL,NULL,74,118
NCR-00007,"Project no. S020014B  Requirement: Size of Weld seam no. BW1102A-D & BW1104A-D shall be as per Drawing no. NU-700-SG-GHAVP-SK-16, Sh. 1 of 1, R1  Deviation: Weld size of  seam no. BW1102A-D, BW1104A-D observed less than the required.   Objective evidence: Report no. 1102/90/DE/01 Dated 19.06.2018","LTFPS 1102, R0, OPN no. 90",Other,Minor,Closed,Yes,Correction as per attached RCA,Materials,(1)MARKING OF FERRITIC BUTTERING IS DONE AS PER THE SKETCH ISSUED BY PCC.  (2) HEIGHT OF THE BUTTERING IN THE ENTIRE AREA OF MARKING SHOULD BE MINIMUM 12 MM TO MEET THE FINAL REQUIREMENT AS PER DRAWING. ,Base Material Defect,• FERRITIC BUTTERING SEAMS WHERE DIMENSIONS AFTER MACHINING ARE MEETING JOB DRAWING REQUIREMENT SHALL BE RELEASED FOR FURTHER WORK. • FERRITIC BUTTERING SEAMS WHERE THICKNESS IS OBSERVED LESS AFTER MACHINING SHALL BE FURTHER WELDED WHEN TUBE-SHEET SHALL BE LOADED ON POSITIONER FOR INCONEL OVERLAY. • A NOTE SHALL BE ADDED IN THE DRAWING ISSUED BY PCC FOR MAINTAINING MINIMUM 12.5 MM HEIGHT ALL ACROSS THE MARKING TO AVOID THIS LAPSE IN FUTURE. ,Management,Accept as it is,No,"Seam No. BW1102A-D is acceptable as it is meeting dwg. requirement.  Seam No. BW1104A-D, required welding should be carried out to meet dwg. requirement.","Seam No. BW1102A-D is acceptable as it is meeting dwg. requirement.  Seam No. BW1104A-D, required welding is carried out to meet the drawing requirement. Refer report no. 1102/90/DE/02 Dated 23.08.2018",NULL,2018-06-21,2018-06-25,2018-11-22,2018-06-26,NULL,NULL,NULL,5,22
S020014A-NCR-001A,Project no. S020014A  Requirement: Material should be free from surface defects. Surface finish of parts shall be 3.2 & 6.3 microns.  Deviation: During receipt inspection of Integral Cone & Shell-3 (FIM) following observations were noted.  a. Pitting / rust marks were observed at inside and outside surface.  b. Dimensional deviation as highlighted in report no. VDR/990 Dated 28.08.2015 were observed.  Objective evidence: Report no. K701/VE/30/S3/01 Dated 19.06.2018,Receipt inspection,Other,Minor,Closed,Yes,Pitting shall be removed by Grinding. ,Materials,FIM issued by Customer,Base Material Defect,Nil,Management,Accept as it is,Yes,"Acceptable, Corrections to be done as per approved LTFPS No. 7005",Rework as per LTFPS 7005 is completed.,NULL,2018-06-21,2018-06-25,2018-10-30,2018-06-26,NULL,NULL,NULL,101,124
S020014A-NCR-002A,Project no. S020014A  Requirement: Material should be free from surface defects.  Deviation: During receipt inspection of Shell-5 (FIM) following observations are noted.    a. Punching detail is partialy not visible due to pitting on surface    b. Outside Surface of shell observed having scattered pitting on all over surfaces.    c. Inside Surface of shell observed having minor rust mark and pitting mark at local area.  Objective evidence: Report no. K701/VE/10/S5/01 & K701/VE/30/S5/01 Dated 05.06.2018,NULL,Other,Minor,Closed,Yes,Pitting shall be removed by Grinding,Materials,FIM Material,Base Material Defect,Nil,Management,Accept as it is,Yes,"Acceptable, Repair to be done as per approved LTFPS -7009.",Rework completed as per LTFPS no. 7009.  Reduction in thickness is accepted as is. Refer L&T Letter no. NU-SG-0014-CCO-021 dated 26.07.2018 and acceptance email dated 27.07.2018,NULL,2018-06-22,2018-06-27,2018-07-13,2018-07-10,NULL,NULL,NULL,101,124
NCR-00010,"Requirement : No damages on the Tubesheet after receipt.  Deviation: During Receipt Inspection of Calandria Side Tube Sheet for Project No. S020016A after receipt and cleaning, damages are observed as mentioned below.  - Ø10mm X 1mm deep circular mark on the punching side face of CSTS.  - Dent mark of size 15mm X 5mm X 0.6mm Deep on the punching side face of CSTS  - Damage in Hole ID of 8 Nos. Ø115mm Holes. Size 25mm X 12mm X 0.5 to 1mm Deep Max.  - Dent / line marks upto depth of 0.5mm observed in ID of 1No. Ø115mm Hole.  Evidence : Refer Annexure to Report No. CSTS/RI/ES-A/01 for details.",Receipt Inspection of NPCIL FIM,Other,Minor,Closed,No,Observed Dents will get machined during final machining of Tubesheet hence no rectification/correction required,Materials,"FIM material, improper preservation from Customer end",Base Material Defect,NA since material is FIM,Management,Accept as it is,No,"CSTS surface with dent shall be kept towards Shell Extension side. So, dent will be removed during machining in subsequent manufacturing.",NULL,NULL,2018-06-25,2018-09-19,2018-09-25,2018-09-24,NULL,NULL,NULL,118,431
NCR-00011,Project no. S020014B  Requirement: Outside Arc Length of Part no. 11027 (FTC for Tube sheet) shall be 550 mm min.   Deviation: Actual Arc length of FTC-C is observed 290 mm.  Objective evidence: Report no. 1102/MI/250/04 Dated 19.06.2018,Receipt Inspection,Tubesheet,Minor,Closed,No,To be accepted as it is or Short in length shall be compensated by additional FTC supplied by LTSSHF. ,Materials,Sufficient material in single length not available for FTC-C  after removal of test specimens at LTSSHF.,Base Material Defect,NA,Management,Accept as it is,No,Accept as it is.,RES-2 is identified against Part no. 11027 as per report No.: 1102 / MI / 250 / 04 dated Date: 14.06.2018.,NULL,2018-06-25,2018-09-21,2018-12-13,2018-09-24,NULL,NULL,NULL,2067,2181
NCR-00012,Project no. S020014C  Requirement: Outside Arc Length of Part no. 11027 (FTC for Tube sheet) shall be 550 mm min.   Deviation: Actual Arc length of FTC-C is observed 280 mm.  Objective evidence: Report no. 1102/MI/250/04 Dated 14.06.2018,Receipt Inspection,Tubesheet,Minor,Closed,Yes,To be accepted as it is or short in length shall be compensated by additional FTC supplied by LTSSHF.,Materials,Sufficient material in single length is not available.,Base Material Defect,NA,Management,Accept as it is,No,  Accept as it is.,RES-1 is identified against Part no. 11027 as per Report No.: 1102 / MI / 250 / 04 dated Date: 14.06.2018.,NULL,2018-07-10,2018-07-11,2018-08-24,2018-08-21,NULL,NULL,NULL,2114,2181
S020016A-NCR-002,"Flatness of Calandria Side Tubesheet checked after receipt before setup with Shell Extension and found more than the requirement. This Tubesheet was supplied by NPCIL as FIM.  Requirement: As per NPCIL approved Drawing No.: NU-ES-0016-00-401, R1   Overall Flatness of Tubesheet shall be within 6mm.  Deviation: Overall Flatness of Calandria Side Tubesheet for Project No.: S020016A found within 7.75mm.   Evidence: Refer attached Report No.: ES-101A/DT/20/01 Dated: 06.07.2018 for details.",Receipt Inspection of FIM,Tubesheet,Minor,Closed,No,Flatness of CSTS will be maintained within the requirement of 5 to 15mm towards fuelling machine side in fabrication of CSTS # Shell extension.,Materials,Due to improper storage at L&T as well as NPCIL store,Base Material Defect,Not required at this stage as it will be corrected during fabrication of CSTS # Shell extension,Management,Accept as it is,Yes,Accepted as it is.,NULL,NULL,2018-07-27,2018-07-31,2018-11-12,2018-11-12,NULL,NULL,NULL,24,1008
NCR-00015,"Project no. S020014A, SA: 11  Requirement: Weld should be free from defect.  Deviation: During welding of PWTC seam no. CW1201F/PWTC, arc strike observed on Part no. 12032F. (STC Side)  Objective evidence: Report no. 1205/VE/90/01 Dated 25.07.2018",In-process welding,Other,Minor,Closed,No,Testing team may discard affected area while sample preparation.,Materials,Casual approach by workman while material handling using EOT crane.,Base Material Defect,1. Wherever possible shop to ensure that critical operations are not planned/extended into gangway. 2. Incident shared with all staff & workmen to create awareness.,Workman,Accept as it is,No,Acceptable follow welding engineer's comments.,Affected area was discarded while sample preparation. Testing completed.,NULL,2018-08-06,2018-08-22,2019-06-23,2018-08-24,NULL,NULL,NULL,116,118
